video_url,comment
https://www.youtube.com/watch?v=aA98ajOleo0,"Mantap, lebih mudah transportas"
https://www.youtube.com/watch?v=aA98ajOleo0,"Pertama liat thumbnail kirain bus trans jogja, trnyta trans jatim. Mantap bus nya"
https://www.youtube.com/watch?v=aA98ajOleo0,Jossss. Alon2 asal slameettt
https://www.youtube.com/watch?v=aA98ajOleo0,Sakjane masuk kota mojokerto
https://www.youtube.com/watch?v=aA98ajOleo0,"Sip tenan mas Wild,,trip lokalan,jajal trip neng arah kediri mas,numpak harjay,bagong,/pelita indah..mudun papar,lanjut (ngetan)pare via bogo mas..iku ndisek ono angkutan,saiki mboh..bek menowo minat mas,st.papar yo ene'(cedak)..
Sehat selalu nggeh 
Klahiran papar(kediri) hadir ️"
https://www.youtube.com/watch?v=aA98ajOleo0,"Usulan, haltenya ditambah utk dekat pasar Krian. Hehehehe..."
https://www.youtube.com/watch?v=aA98ajOleo0,Mugo mugo aee bis kuning mjk pasuruan di perbaruii...hahha
https://www.youtube.com/watch?v=aA98ajOleo0,Unik bus mediumnya Om
https://www.youtube.com/watch?v=aA98ajOleo0,Lanjut mas onok seng trayek Sidoarjo Surabaya Gresik mas
https://www.youtube.com/watch?v=aA98ajOleo0,"Ketika gurita bus mulai masuk ke pemerintahan dan mendominasi pasar dengan armada"" baru dan menggeser langsung pemain lama /pengusaha kecil/ perorangan dengan armada jadul.."
https://www.youtube.com/watch?v=aA98ajOleo0,Mantaaaafs Jatim....
https://www.youtube.com/watch?v=aA98ajOleo0,Hadir & like ️
https://www.youtube.com/watch?v=aA98ajOleo0,"Sekarang sepertinya disama ratakan untuk layanan trans Jatim,  yg sblumnya udh ada rute Porong - Sidoarjo - Purabaya - Gresik via tol. Sekarang buka rute Surabaya - Mojokerto,  berikutnya entah mana lagi yg akan dilayani trans Jatim?? 

Apakah Mojokerto - Pasuruan untuk mengganti bus kuning?? Semoga aja bgtu.."
https://www.youtube.com/watch?v=aA98ajOleo0,"Terus nasib e supir bis ijo yo'opo... Mugo"" akeh sing di rekrut."
https://www.youtube.com/watch?v=aA98ajOleo0,Bandung hadir.... Mak emak     gak mau kalah sama bapak2  saluut..?!!!
https://www.youtube.com/watch?v=aA98ajOleo0,next tahun depan naik Trans Jatim Koridor IV: Terminal Batu - Terminal Hamid Rusdi
https://www.youtube.com/watch?v=aA98ajOleo0,"SUKSES AllAH SWT AMIN YOUTUBE 
AHMAD WILDANI"
https://www.youtube.com/watch?v=aA98ajOleo0,Mungkin kedepannya ada yang via tol tentunya dengan trip yng berbeda
https://www.youtube.com/watch?v=aA98ajOleo0,Yang ditunggu' akhirnya
https://www.youtube.com/watch?v=aA98ajOleo0,Mantul
https://www.youtube.com/watch?v=aA98ajOleo0,"Widich,  keren mas.  Coba di setiap kota ada bus seperti ini"
